Position,PassRatio,EfgPct,ID,Name
PG,0.9733045929364947,0.4502994011976048,201565,Derrick Rose
SG,0.9782909292035398,0.49510403916768664,201166,Aaron Brooks
SF,0.9904133594474797,0.5016447368421053,202710,Jimmy Butler
PF,0.9849063813526939,0.49956634865568084,2200,Pau Gasol
C,0.9844559585492227,0.4449648711943794,201149,Joakim Noah
