Position,PassRatio,EfgPct,ID,Name
PG,0.990632318501171,0.5208333333333334,201952,Jeff Teague
SG,0.9875776397515528,0.4612903225806452,2037,Jamal Crawford
SF,0.9821634062140391,0.48484848484848486,2207,Joe Johnson
PF,0.9897094430992736,0.4233576642335766,201143,Al Horford
C,0.9863636363636363,0.4782608695652174,2585,Zaza Pachulia
