Position,PassRatio,EfgPct,ID,Name
PG,0.9789443322757427,0.4810756972111554,203499,Shane Larkin
SG,0.9862604540023895,0.5186915887850467,202711,Bojan Bogdanovic
SF,0.9857000332557366,0.5876494023904383,2207,Joe Johnson
PF,0.9895498392282959,0.460573476702509,200745,Andrea Bargnani
C,0.981942008048705,0.5116681071737251,201572,Brook Lopez
