Position,PassRatio,Fg2Pct,ID,Name
PG,0.978675645342312,0.46320346320346323,2548,Dwyane Wade
SG,0.9901719901719902,0.48214285714285715,1626159,Justise Winslow
SF,0.9902491874322861,0.49107142857142855,2207,Joe Johnson
PF,0.9876144318793754,0.5061728395061729,2736,Luol Deng
C,0.9879740980573543,0.6811594202898551,202355,Hassan Whiteside
