Position,PassRatio,Fg2Pct,ID,Name
PG,0.9821363024593173,0.42215088282504015,201943,Brandon Jennings
SG,0.9760286900717252,0.4677754677754678,1894,Corey Maggette
SF,0.9856454316848282,0.4270986745213549,2422,John Salmons
PF,0.9888613861386139,0.4792746113989637,101141,Ersan Ilyasova
C,0.9852975770406963,0.497289972899729,101106,Andrew Bogut
