game_id,team_type,prob_home_low,prob_home_high,prob_away_low,prob_away_high,winner,home_expected_score,away_expected_score
0021200993,away,0.46,0.5141,0.45629,0.5335,home,6.23038,6.56418
0021200993,home,0.46,0.5141,0.45629,0.5335,home,6.23038,6.56418
0021400543,away,0.4606,0.5488,0.4268,0.485,away,6.4572,6.0160800000000005
0021400543,home,0.4606,0.5488,0.4268,0.485,away,6.4572,6.0160800000000005
0021500006,away,0.43728,0.5626,0.3686,0.4947,home,6.475859999999999,5.85068
0021500006,home,0.43728,0.5626,0.3686,0.4947,home,6.475859999999999,5.85068
0021701068,away,0.4312,0.5684,0.41,0.5723,home,6.604420000000001,6.4936
0021701068,home,0.4312,0.5684,0.41,0.5723,home,6.604420000000001,6.4936
0021800606,away,0.45,0.5978,0.4802,0.5586,away,6.71178,6.75262
0021800606,home,0.45,0.5978,0.4802,0.5586,away,6.71178,6.75262
0041300147,away,0.4462,0.6208,0.4214,0.57242,away,6.91222,6.28744
0041300147,home,0.4462,0.6208,0.4214,0.57242,away,6.91222,6.28744
0041300172,away,0.43,0.51856,0.43659,0.5292,home,6.02282,6.31338
0041300172,home,0.43,0.51856,0.43659,0.5292,home,6.02282,6.31338
0041400204,away,0.42258,0.637,0.4171,0.5432,away,6.644960000000001,6.3355999999999995
0041400204,home,0.42258,0.637,0.4171,0.5432,away,6.644960000000001,6.3355999999999995
0041400311,away,0.4462,0.56,0.4462,0.6499,home,6.578880000000001,6.74634
0041400311,home,0.4462,0.56,0.4462,0.6499,home,6.578880000000001,6.74634
0041500125,away,0.46,0.6596,0.2254,0.4508,home,6.4822,4.55236
0041500125,home,0.46,0.6596,0.2254,0.4508,home,6.4822,4.55236
