game_id,winner,prob_home_low,prob_home_high,prob_away_low,prob_away_high,home_softmax,away_softmax,home_expected_score,away_expected_score
0041300147,away,0.42862,0.6208,0.41511,0.57242,0.4521023270077527,0.4607534010933329,1.6987272601600003,1.5909907097600002
0021800606,away,0.41507,0.5978,0.48006,0.5586,0.4544441895163186,0.4803750870376551,1.6305593292800002,1.7091608320000002
0021500006,home,0.41996,0.5626,0.33998,0.4947,0.46440033926966623,0.46139697678678393,1.6024023142400001,1.4200769177600001
0041300172,away,0.39654,0.51856,0.42358,0.5292,0.46953279250690244,0.47361951958117765,1.4890130483200001,1.6068578560000002
0041400204,away,0.40998,0.637,0.39261,0.5432,0.44348750390415936,0.462423484485572,1.7327640473600003,1.5331750144
0041500125,away,0.42857,0.6596,0.29183,0.4508,0.44249803604390364,0.4603409849472557,1.62912875008,1.2537419468800004
0021400543,away,0.44274,0.5488,0.39367,0.485,0.4735098270652822,0.47718335758462793,1.6229408358400002,1.46639923712
0021200993,home,0.42857,0.5141,0.43822,0.5335,0.47863052556572677,0.4761980040382335,1.53377583616,1.6244124364800003
0021701068,home,0.45196,0.5684,0.37431,0.5723,0.4709228455798242,0.45066356066971697,1.6982241024,1.56432029184
0041400311,home,0.45191,0.56,0.46584,0.6499,0.473003778962228,0.4541144697337747,1.7045392332800002,1.7265880576000006
